U_TIME,HUMAN_TIME,MESSAGE,STAGE,P/NP
1690225129070071000,19:58:49.070969,H,UKULELE,P
1690225139071821000,19:58:59.072386,H,UKULELE,P
1690225143199302000,19:59:03.199691,CHANGE_COSTUME,UKULELE,P
1690225149074027000,19:59:09.074585,H,UKULELE,P
1690225159076221000,19:59:19.076785,H,UKULELE,P
1690225169077605000,19:59:29.078102,H,UKULELE,P
1690225179079456000,19:59:39.079863,H,UKULELE,P
1690225189081086000,19:59:49.082547,H,UKULELE,P
1690225199084092000,19:59:59.084626,H,UKULELE,P
1690225209086236000,20:00:09.086772,H,UKULELE,P
1690225218581972000,20:00:18.582555,PERFORMER_TALK,UKULELE,P
1690225219087506000,20:00:19.087753,H,UKULELE,P
1690225229089274000,20:00:29.089830,H,UKULELE,P
1690225239091452000,20:00:39.091967,H,UKULELE,P
1690225249093540000,20:00:49.094123,H,UKULELE,P
1690225259095742000,20:00:59.096188,H,UKULELE,P
1690225269097587000,20:01:09.098137,H,UKULELE,P
1690225279099574000,20:01:19.100107,H,UKULELE,P
1690225289101513000,20:01:29.101719,H,UKULELE,P
1690225299102961000,20:01:39.103457,H,UKULELE,P
1690225309104824000,20:01:49.105319,H,UKULELE,P
1690225319106887000,20:01:59.107486,H,UKULELE,P
1690225329109117000,20:02:09.110160,H,UKULELE,P
1690225339110901000,20:02:19.111427,H,UKULELE,P
1690225349112776000,20:02:29.113271,H,UKULELE,P
1690225359114133000,20:02:39.114668,H,UKULELE,P
1690225366449813000,20:02:46.450790,DONE,UKULELE,P
