U_TIME,HUMAN_TIME,MESSAGE,STAGE
1689698411177853000,17:40:11.178530,H,PUT_ON_COSTUME
1689698421180111000,17:40:21.180783,H,PUT_ON_COSTUME
1689698431182451000,17:40:31.183353,H,PUT_ON_COSTUME
1689698434601050000,17:40:34.602104,Placeholder,PUT_ON_COSTUME
1689698441184873000,17:40:41.185616,H,PUT_ON_COSTUME
1689698451187195000,17:40:51.187874,H,PUT_ON_COSTUME
1689698461189478000,17:41:01.190221,H,PUT_ON_COSTUME
1689698471191777000,17:41:11.192501,H,PUT_ON_COSTUME
1689698481193837000,17:41:21.194548,H,PUT_ON_COSTUME
1689698491196090000,17:41:31.196919,H,PUT_ON_COSTUME
1689698501198752000,17:41:41.199514,H,PUT_ON_COSTUME
1689698511200146000,17:41:51.201170,H,PUT_ON_COSTUME
1689698521202884000,17:42:01.203628,H,PUT_ON_COSTUME
1689698531205256000,17:42:11.205931,H,PUT_ON_COSTUME
1689698541207579000,17:42:21.208229,H,PUT_ON_COSTUME
1689698551210608000,17:42:31.211652,H,PUT_ON_COSTUME
1689698561213399000,17:42:41.214052,H,PUT_ON_COSTUME
1689698571216087000,17:42:51.216699,H,PUT_ON_COSTUME
1689698581217761000,17:43:01.218453,H,PUT_ON_COSTUME
1689698591220739000,17:43:11.221424,H,PUT_ON_COSTUME
1689698601223728000,17:43:21.224431,H,PUT_ON_COSTUME
1689698611225967000,17:43:31.226684,H,PUT_ON_COSTUME
1689698621228475000,17:43:41.229421,H,PUT_ON_COSTUME
1689698631231214000,17:43:51.231891,H,PUT_ON_COSTUME
1689698641233483000,17:44:01.234428,H,PUT_ON_COSTUME
1689698651236052000,17:44:11.236686,H,PUT_ON_COSTUME
1689698661238380000,17:44:21.239039,H,PUT_ON_COSTUME
1689698671240725000,17:44:31.241429,H,PUT_ON_COSTUME
1689698681243104000,17:44:41.243689,H,PUT_ON_COSTUME
1689698691245119000,17:44:51.245421,H,PUT_ON_COSTUME
1689698701246679000,17:45:01.246913,H,PUT_ON_COSTUME
1689698711248308000,17:45:11.248769,H,PUT_ON_COSTUME
1689698721250891000,17:45:21.251360,H,PUT_ON_COSTUME
