U_TIME,HUMAN_TIME,MESSAGE,STAGE,P/NP
1690216897738905000,17:41:37.740086,H,PLANT_CARE,NP
1690216907741544000,17:41:47.742165,H,PLANT_CARE,NP
1690216917743727000,17:41:57.744329,H,PLANT_CARE,NP
1690216927752973000,17:42:07.753508,H,PLANT_CARE,NP
1690216937754591000,17:42:17.755189,H,PLANT_CARE,NP
1690216947756553000,17:42:27.757157,H,PLANT_CARE,NP
1690216957758768000,17:42:37.759396,H,PLANT_CARE,NP
1690216967760702000,17:42:47.760954,H,PLANT_CARE,NP
1690216977762402000,17:42:57.763045,H,PLANT_CARE,NP
1690216987764623000,17:43:07.765278,H,PLANT_CARE,NP
1690216997766897000,17:43:17.767803,H,THE_DANCE,P
1690217007769379000,17:43:27.770451,H,THE_DANCE,P
1690217009505471000,17:43:29.505903,CHANGE_COSTUME,THE_DANCE,P
1690217017771150000,17:43:37.771808,H,THE_DANCE,P
1690217027772916000,17:43:47.773411,H,THE_DANCE,P
1690217037774821000,17:43:57.775399,H,THE_DANCE,P
1690217047776900000,17:44:07.777503,H,THE_DANCE,P
1690217057779070000,17:44:17.779676,H,THE_DANCE,P
1690217067781066000,17:44:27.781311,H,THE_DANCE,P
1690217077782772000,17:44:37.783448,H,THE_DANCE,P
1690217087784566000,17:44:47.785136,H,THE_DANCE,P
1690217091046514000,17:44:51.047102,AUDIENCE SNEEZE,THE_DANCE,P
1690217097786632000,17:44:57.787283,H,THE_DANCE,P
1690217107788840000,17:45:07.789488,H,THE_DANCE,P
1690217117791069000,17:45:17.791729,H,THE_DANCE,P
1690217127793121000,17:45:27.793808,H,THE_DANCE,P
1690217137795377000,17:45:37.796026,H,THE_DANCE,P
1690217147797647000,17:45:47.798126,H,THE_DANCE,P
1690217157798731000,17:45:57.799236,H,THE_DANCE,P
1690217166348791000,17:46:06.349414,PERFORMER SINGS/HUM,THE_DANCE,P
1690217167800779000,17:46:07.801417,H,THE_DANCE,P
1690217177802971000,17:46:17.803537,H,THE_DANCE,P
1690217187804501000,17:46:27.805137,H,THE_DANCE,P
1690217197806539000,17:46:37.807104,H,THE_DANCE,P
1690217207808500000,17:46:47.809022,H,THE_DANCE,P
1690217211679217000,17:46:51.679837,CROWN FALL DOWN,THE_DANCE,P
1690217217810435000,17:46:57.811070,H,THE_DANCE,P
1690217227812675000,17:47:07.813339,H,THE_DANCE,P
1690217237814869000,17:47:17.815518,H,THE_DANCE,P
1690217247817084000,17:47:27.817753,H,THE_DANCE,P
1690217257819254000,17:47:37.819914,H,DOING_NOTHING,NP
1690217267824383000,17:47:47.824785,H,DOING_NOTHING,NP
1690217277825164000,17:47:57.825652,H,DOING_NOTHING,NP
1690217287827158000,17:48:07.827819,H,DOING_NOTHING,NP
1690217297829427000,17:48:17.830036,H,DOING_NOTHING,NP
1690217307831632000,17:48:27.832281,H,DOING_NOTHING,NP
1690217317833386000,17:48:37.834074,H,DOING_NOTHING,NP
1690217327835570000,17:48:47.836183,H,DOING_NOTHING,NP
1690217337837712000,17:48:57.838384,H,DOING_NOTHING,NP
1690217347839805000,17:49:07.840321,H,DOING_NOTHING,NP
1690217357841685000,17:49:17.842345,H,DOING_NOTHING,NP
1690217367843960000,17:49:27.844626,H,DOING_NOTHING,NP
1690217377846234000,17:49:37.846903,H,DOING_NOTHING,NP
1690217387847545000,17:49:47.848001,H,SPOTIFY,P
1690217397849430000,17:49:57.850479,H,SPOTIFY,P
1690217402687581000,17:50:02.688277,CHANGE_COSTUME,SPOTIFY,P
1690217407851529000,17:50:07.852201,H,SPOTIFY,P
1690217417853365000,17:50:17.854033,H,SPOTIFY,P
1690217427855117000,17:50:27.855789,H,SPOTIFY,P
1690217437857345000,17:50:37.858029,H,SPOTIFY,P
1690217447859422000,17:50:47.859867,H,SPOTIFY,P
1690217457861130000,17:50:57.861774,H,SPOTIFY,P
1690217467863417000,17:51:07.864058,H,SPOTIFY,P
1690217477865673000,17:51:17.866342,H,SPOTIFY,P
1690217487867841000,17:51:27.868302,H,SPOTIFY,P
1690217497869830000,17:51:37.870505,H,SPOTIFY,P
1690217507872270000,17:51:47.872666,H,SPOTIFY,P
1690217517874162000,17:51:57.874847,H,SPOTIFY,P
1690217527875713000,17:52:07.876106,H,SPOTIFY,P
1690217537877529000,17:52:17.877923,H,SPOTIFY,P
1690217547879338000,17:52:27.880102,H,SPOTIFY,P
1690217557895405000,17:52:37.895903,H,SPOTIFY,P
1690217567897377000,17:52:47.898183,H,SPOTIFY,P
1690217577899588000,17:52:57.899979,H,SPOTIFY,P
1690217587901329000,17:53:07.901745,H,SPOTIFY,P
1690217597902519000,17:53:17.902882,H,SPOTIFY,P
1690217607904234000,17:53:27.904734,H,SPOTIFY,P
1690217617906149000,17:53:37.906809,H,SPOTIFY,P
1690217627907415000,17:53:47.907875,H,SPOTIFY,P
1690217637909351000,17:53:57.910013,H,SPOTIFY,P
1690217647911609000,17:54:07.912164,H,SPOTIFY,P
1690217657914689000,17:54:17.915345,H,SPOTIFY,P
1690217667916951000,17:54:27.917645,H,SPOTIFY,P
1690217677919062000,17:54:37.919588,H,SPOTIFY,P
1690217687920977000,17:54:47.921621,H,SPOTIFY,P
1690217697923210000,17:54:57.923850,H,SPOTIFY,P
1690217707924908000,17:55:07.925443,H,SPOTIFY,P
1690217717925892000,17:55:17.926448,H,SPOTIFY,P
1690217727928667000,17:55:27.928880,H,SPOTIFY,P
1690217737929298000,17:55:37.929518,H,SPOTIFY,P
1690217747931742000,17:55:47.931946,H,SPOTIFY,P
1690217757934060000,17:55:57.934500,H,SPOTIFY,P
1690217767937509000,17:56:07.938503,H,SPOTIFY,P
1690217777939462000,17:56:17.940125,H,POEM,P
1690217787942452000,17:56:27.943109,H,POEM,P
1690217797944647000,17:56:37.945235,H,POEM,P
1690217807946750000,17:56:47.947248,H,POEM,P
1690217817225802000,17:56:57.226233,PUT_ON_COSTUME,POEM,P
1690217817949342000,17:56:57.950737,H,POEM,P
1690217827952293000,17:57:07.953409,H,POEM,P
1690217837954911000,17:57:17.955537,H,POEM,P
1690217847956840000,17:57:27.957307,H,POEM,P
1690217857958837000,17:57:37.959483,H,POEM,P
1690217867961008000,17:57:47.961659,H,POEM,P
1690217877963069000,17:57:57.963312,H,POEM,P
1690217887964792000,17:58:07.965450,H,POEM,P
1690217897967006000,17:58:17.968080,H,POEM,P
1690217907968790000,17:58:27.969401,H,POEM,P
1690217917979801000,17:58:37.980185,H,POEM,P
1690217927981558000,17:58:47.982009,H,POEM,P
